datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2015-01-15 11:00:00,43975.13251,-693429.1363,60.0,-41.37134,83.59232
2015-01-15 12:00:00,43980.12564,-693441.34958,60.0,-41.37099,83.5922
2015-01-15 13:00:00,43950.95766,-693464.96059,90.0,-41.37351,83.592
2015-01-15 14:00:00,43863.46816,-693492.15958,60.0,-41.38086,83.5918
2015-01-15 15:00:00,43750.46519,-693542.24511,60.0,-41.39041,83.59141
2015-01-15 16:00:00,43600.2047,-693617.36677,60.0,-41.40317,83.59081
2015-01-15 17:00:00,43419.1075,-693650.36489,60.5,-41.41824,83.59061
2015-01-15 18:00:00,43210.09555,-693707.00504,60.0,-41.43573,83.59021
2015-01-15 19:00:00,43040.11593,-693761.22861,59.5,-41.44999,83.58981
2015-01-15 20:00:00,42899.5452,-693813.44938,60.0,-41.46182,83.58941
2015-01-15 21:00:00,42782.46686,-693863.57628,60.5,-41.4717,83.58901
2015-01-15 22:00:00,42693.17644,-693913.13148,60.0,-41.4793,83.58861
2015-01-15 23:00:00,42631.71686,-693961.31983,60.0,-41.4846,83.5882
2015-01-16 00:00:00,42539.03895,-693966.68959,60.0,-41.49225,83.5882
2015-01-16 01:00:00,42432.47845,-694016.46025,60.5,-41.50127,83.58781
2015-01-16 02:00:00,42348.76953,-694043.44378,60.0,-41.50829,83.5876
2015-01-16 03:00:00,42259.6498,-694092.35142,60.0,-41.51586,83.58721
2015-01-16 04:00:00,42156.7859,-694120.50756,60.0,-41.52446,83.587
2015-01-16 05:00:00,42062.45133,-694169.35309,60.0,-41.53246,83.58661
2015-01-16 06:00:00,41963.28471,-694219.33325,60.0,-41.54087,83.5862
2015-01-16 07:00:00,41887.34411,-694224.72844,60.0,-41.54714,83.5862
2015-01-16 08:00:00,41870.65215,-694203.57496,60.0,-41.54841,83.5864
2015-01-16 09:00:00,41874.60226,-694224.82448,60.0,-41.54819,83.5862
2015-01-16 10:00:00,41855.327,-694226.3645,60.0,-41.54978,83.5862
2015-01-16 11:00:00,41852.58121,-694226.40818,60.0,-41.55001,83.5862
2015-01-25 03:00:00,42877.95959,-694838.80753,59.5,-41.4688,83.58
2015-01-25 04:00:00,42873.10869,-694839.10685,60.0,-41.4692,83.58
2015-01-25 05:00:00,42868.2578,-694839.40615,60.5,-41.4696,83.58
2015-01-25 06:00:00,42823.52698,-694884.78768,60.5,-41.4735,83.57961
2015-01-25 07:00:00,42735.34179,-694934.68137,60.5,-41.481,83.5792
2015-01-25 08:00:00,42578.84529,-694963.97367,60.5,-41.494,83.57902
2015-01-25 09:00:00,42300.22425,-695089.93965,60.5,-41.51752,83.57802
2015-01-25 10:00:00,41876.92205,-695222.65519,60.0,-41.55294,83.57703
2015-01-25 11:00:00,41240.99968,-695395.03907,59.5,-41.606,83.5758
2015-01-25 12:00:00,40409.12226,-695614.93793,59.5,-41.67535,83.57423
2015-01-25 13:00:00,39458.30715,-695861.90676,61.0,-41.75456,83.57246
2015-01-25 14:00:00,38384.40157,-696121.08989,60.0,-41.84388,83.57063
2015-01-25 15:00:00,37307.40496,-696378.84088,60.5,-41.9334,83.5688
2015-01-25 16:00:00,36274.43309,-696623.15854,60.5,-42.0192,83.56706
2015-01-25 17:00:00,35286.53087,-696848.5943,61.0,-42.10117,83.56545
2015-01-25 18:00:00,34372.36545,-697047.34489,60.0,-42.17695,83.56404
2015-01-25 19:00:00,33520.73982,-697202.31558,60.0,-42.2474,83.563
2015-01-25 20:00:00,32798.72083,-697258.38432,60.0,-42.30682,83.5628
2015-01-25 21:00:00,32203.39663,-697265.58903,60.5,-42.35566,83.56299
2015-01-25 22:00:00,31695.48621,-697162.49048,60.0,-42.39692,83.56415
2015-01-25 23:00:00,31251.86828,-697012.36701,61.0,-42.43275,83.56572
2015-01-26 00:00:00,30889.64569,-696830.5583,60.0,-42.46181,83.56754
2015-01-26 01:00:00,30655.73743,-696643.33588,59.5,-42.48033,83.56935
2015-01-26 02:00:00,30517.69945,-696536.8395,59.5,-42.49128,83.57039
2015-01-26 03:00:00,30462.61986,-696473.00214,59.5,-42.49557,83.571
2015-01-26 04:00:00,30455.82123,-696492.67428,60.5,-42.4962,83.57082
2015-01-26 05:00:00,30461.6682,-696577.48165,60.5,-42.49602,83.57004
2015-01-26 06:00:00,30479.71908,-696708.86112,59.5,-42.49501,83.56882
2015-01-26 07:00:00,30490.35936,-696838.74207,59.5,-42.49461,83.56762
2015-01-26 08:00:00,30499.62577,-696990.57485,60.0,-42.49439,83.56622
2015-01-26 09:00:00,30486.60033,-697119.91393,60.5,-42.49592,83.56504
2015-01-26 10:00:00,30464.12887,-697232.53055,60.0,-42.49817,83.56401
2015-01-26 11:00:00,30451.51614,-697276.65407,60.0,-42.49936,83.56361
2015-01-26 12:00:00,30433.54852,-697322.14316,60.0,-42.501,83.5632
2015-01-26 13:00:00,30391.23654,-697365.67127,60.0,-42.50463,83.56282
2015-01-26 14:00:00,30310.89331,-697435.20181,60.5,-42.51146,83.56221
2015-01-26 15:00:00,30197.38353,-697504.92252,59.5,-42.52102,83.56161
2015-01-26 16:00:00,30049.68375,-697618.4919,60.5,-42.53353,83.56063
2015-01-26 17:00:00,29861.40938,-697692.8065,60.5,-42.54922,83.56002
2015-01-26 18:00:00,29634.88338,-697768.94432,59.5,-42.56806,83.55941
2015-01-26 19:00:00,29366.04289,-697803.03232,60.0,-42.59021,83.5592
2015-01-26 20:00:00,29057.34731,-697795.31243,60.5,-42.61549,83.55939
2015-01-26 21:00:00,28693.6708,-697747.48002,60.0,-42.64514,83.55997
2015-01-26 22:00:00,28277.36518,-697614.561,60.0,-42.67882,83.56135
2015-01-26 23:00:00,27827.15642,-697438.43489,60.0,-42.71516,83.56313
2015-01-27 00:00:00,27356.09023,-697218.18721,60.0,-42.75309,83.56533
2015-01-27 01:00:00,26841.37786,-697020.22903,60.0,-42.7947,83.56733
2015-01-27 02:00:00,26246.72891,-696824.78543,60.0,-42.84291,83.56934
2015-01-27 03:00:00,25588.84426,-696674.0664,60.0,-42.89647,83.57095
2015-01-27 04:00:00,24827.0202,-696528.69646,60.0,-42.95862,83.57254
2015-01-27 05:00:00,23999.48332,-696341.59084,60.0,-43.02608,83.57453
2015-01-27 06:00:00,23120.45039,-696132.41395,60.0,-43.09775,83.57673
2015-01-27 07:00:00,22202.14573,-695903.40439,60.0,-43.17265,83.57911
2015-01-27 08:00:00,21258.57219,-695587.41053,60.0,-43.24947,83.58229
2015-01-27 09:00:00,20350.14732,-695244.4859,60.0,-43.3234,83.58569
2015-01-27 10:00:00,19493.86916,-694920.99355,60.0,-43.39316,83.58889
2015-01-27 11:00:00,18703.15533,-694574.34087,60.0,-43.45754,83.59228
2015-01-27 12:00:00,17966.29937,-694175.67118,59.5,-43.51743,83.59613
2015-01-27 13:00:00,17274.55185,-693661.99151,60.0,-43.57343,83.60102
2015-01-27 14:00:00,16651.17559,-693008.39231,60.5,-43.6236,83.60717
2015-01-27 15:00:00,16060.63057,-692201.01191,60.0,-43.67085,83.61473
2015-01-27 16:00:00,15459.06697,-691263.06967,60.0,-43.71888,83.62348
2015-01-27 17:00:00,14815.78438,-690246.16216,60.5,-43.77036,83.63297
2015-01-27 18:00:00,14367.90963,-689470.64052,60.0,-43.80618,83.64019
2015-01-27 19:00:00,14004.96933,-688865.70385,59.5,-43.83531,83.64583
