Buoy_ID,Start_Time,End_Time,Start_Lat,Start_Lon,End_Lat,End_Lon
300034012586420.csv,2010-10-11 6:00:00,2010-10-13 12:00:00,76.23378,179.15562,76.50918,178.58862
300034013807460.csv,2010-11-11 12:00:00,2010-11-28 6:00:00,80.37,0.19242,77.71374,-1.4245
300234010429060.csv,2011-07-01 0:00:00,2011-07-13 15:00:00,74.5784,-162.1276,74.6652,-169.5348
300234010732080.csv,2011-07-01 0:00:00,2011-07-13 15:00:00,74.55114,-162.17764,74.63574,-169.57474
300234010824000.csv,2011-07-01 0:00:00,2011-07-13 9:00:00,71.7648,173.9424,71.7648,173.9424
300034012488880.csv,2011-07-18 15:00:00,2011-07-31 23:00:00,72.84834,-149.84908,72.75992,-151.00688
300234010429060.csv,2011-08-01 0:00:00,2011-09-17 7:00:00,74.7836,-171.7252,73.4438,173.9504
300234010732080.csv,2011-08-01 0:00:00,2011-08-31 23:00:00,74.7594,-171.77092,74.97749,172.46508
300234010824000.csv,2011-08-01 0:00:00,2011-09-26 18:00:00,71.7648,173.9424,71.7648,173.9424
300034013707960.csv,2011-08-06 21:00:00,2011-09-19 23:00:00,73.63476,-142.4725,73.63476,-142.4725
300234010956630.csv,2011-08-08 1:00:00,2011-08-31 23:00:00,72.53298,-133.97308,72.53298,-133.97308
300034012196870.csv,2011-08-09 11:00:00,2011-09-30 23:00:00,72.3132,-168.37792,72.3132,-168.37792
300234010424090.csv,2011-08-15 2:00:00,2011-09-17 11:00:00,71.9862,165.9854,71.9862,165.9854
300234010956630.csv,2011-09-02 3:00:00,2011-09-29 23:00:00,72.53298,-133.97308,72.53298,-133.97308
300234010732080.csv,2011-09-04 6:00:00,2011-09-15 9:00:00,74.9484,171.76698,74.03508,174.6738
300034013707960.csv,2011-09-22 8:00:00,2011-09-30 23:00:00,73.63476,-142.4725,73.63476,-142.4725
300034013610530.csv,2011-10-01 0:00:00,2011-10-11 5:00:00,74.27754,-163.09564,74.27754,-163.09564
300234010424090.csv,2011-10-01 0:00:00,2011-10-31 23:00:00,71.9862,165.9854,71.9862,165.9854
300234010732080.csv,2011-10-01 0:00:00,2011-10-25 14:00:00,73.41246,175.88124,72.37316,169.35151
300234010824000.csv,2011-10-01 0:00:00,2011-10-31 23:00:00,71.7648,173.9424,71.7648,173.9424
300234010136040.csv,2011-10-02 11:00:00,2011-10-16 12:00:00,75.0284,-163.8922,77.8324,-164.5432
300234010136070.csv,2011-10-04 0:00:00,2011-10-31 23:00:00,75.993,-175.2506,72.64883,179.51733
300234010957630.csv,2011-10-08 20:00:00,2011-10-18 11:00:00,75.6621,178.18056,76.1418,176.21084
300034012196870.csv,2011-10-23 8:00:00,2011-10-31 23:00:00,72.3132,-168.37792,72.3132,-168.37792
300234010136070.csv,2011-11-03 2:00:00,2011-11-13 1:00:00,72.10153,-178.39138,73.02696,-179.33634
300234010136070.csv,2011-11-15 2:00:00,2011-11-30 23:00:00,72.94247,-179.38305,71.98798,-177.12125
300234010130040.csv,2012-05-01 0:00:00,2012-05-14 20:00:00,73.339,-128.2326,73.27944,-129.98633
300234010132070.csv,2012-05-01 0:00:00,2012-05-30 21:00:00,72.3124,-127.3232,72.365,-132.7194
300234010130040.csv,2012-06-01 0:00:00,2012-07-31 23:00:00,73.2736,-131.4078,73.71375,-139.24155
300234010132070.csv,2012-06-01 0:00:00,2012-06-30 23:00:00,72.4022,-133.0264,72.56599,-140.04141
300234010426160.csv,2012-06-01 0:00:00,2012-06-10 5:00:00,71.0788,-155.2028,71.0788,-155.2028
300234010426160.csv,2012-06-21 20:00:00,2012-07-31 23:00:00,71.0788,-155.2028,71.0788,-155.2028
300034013610530.csv,2012-07-01 0:00:00,2012-07-31 12:00:00,75.75228,176.78574,77.64354,177.0417
300234010424090.csv,2012-07-01 0:00:00,2012-08-18 5:00:00,71.1476,169.1918,69.2024,179.993
300234010956630.csv,2012-07-01 0:00:00,2012-07-01 15:00:00,72.53298,-133.97308,72.53298,-133.97308
300234010132070.csv,2012-07-09 4:00:00,2012-07-31 23:00:00,73.00353,-143.1626,73.36211,-147.19373
300234010824000.csv,2012-07-22 19:00:00,2012-07-26 15:00:00,71.85,177.0024,71.8562,177.0094
300234010824000.csv,2012-07-30 3:00:00,2012-08-31 23:00:00,71.7836,177.0994,70.8772,-176.1096
300234010956630.csv,2012-08-01 0:00:00,2012-09-06 16:00:00,72.53298,-133.97308,72.53298,-133.97308
300025010123530.csv,2012-08-28 15:00:00,2012-08-31 23:00:00,80.1263,-136.467,80.1263,-136.467
300234010899710.csv,2012-09-01 0:00:00,2012-09-14 18:00:00,83.83846,25.10213,84.39552,24.06322
300234011178960.csv,2012-09-01 0:00:00,2012-09-14 20:00:00,83.83754,25.10309,84.38798,23.80419
300025010711490.csv,2012-09-05 0:00:00,2012-10-19 1:00:00,82.4233,3.6734,78.2934,0.694
300234011554180.csv,2012-09-09 4:00:00,2012-09-30 22:00:00,85.12253,122.99639,84.24957,129.28723
300025010123530.csv,2012-09-10 12:00:00,2012-09-30 23:00:00,80.1263,-136.467,80.1263,-136.467
