datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2016-09-23 19:00:00,319767.82576,87708.14155,30.0,60.33826,86.93981
2016-09-23 20:00:00,319904.90885,87455.13099,60.0,60.28984,86.9392
2016-09-23 21:00:00,319951.88195,87366.26727,60.0,60.2729,86.939
2016-09-23 22:00:00,319981.99488,87526.51962,81.0,60.29823,86.93834
2016-09-23 23:00:00,320138.17536,87930.78202,120.0,60.35841,86.93597
2016-09-24 00:00:00,320479.45202,88515.13691,120.0,60.43994,86.9315
2016-09-24 01:00:00,320893.71892,89154.54882,120.0,60.527,86.92624
2016-09-24 02:00:00,321268.95741,89765.66381,129.0,60.61088,86.9214
2016-09-24 03:00:00,321564.3081,90461.36046,129.0,60.71217,86.91704
2016-09-24 04:00:00,321764.63199,91350.45789,90.0,60.84949,86.91303
2016-09-24 05:00:00,321899.53603,92347.80336,120.0,61.00733,86.90931
2016-09-24 06:00:00,322063.76946,93432.48289,120.0,61.17774,86.90508
2016-09-24 07:00:00,322366.73791,94614.76885,120.0,61.35699,86.89934
2016-09-24 08:00:00,322926.32227,95893.04767,150.0,61.5388,86.89105
2016-09-24 09:00:00,323894.93152,97217.28219,150.0,61.70716,86.879
2016-09-24 10:00:00,325245.97556,98444.78841,120.0,61.83991,86.8638
2016-09-24 11:00:00,326186.52609,99105.12414,120.0,61.90033,86.85372
2016-09-24 12:00:00,327326.8659,99770.02355,30.0,61.95135,86.84188
2016-09-24 13:00:00,328361.83101,100194.17436,58.5,61.9687,86.8316
2016-09-24 14:00:00,329267.76678,100419.75469,59.5,61.96061,86.823
2016-09-24 15:00:00,329970.2235,100457.78823,60.0,61.93261,86.8167
2016-09-24 16:00:00,330497.29,100401.47766,60.0,61.89821,86.8122
2016-09-24 17:00:00,330903.92041,100293.52792,60.0,61.86151,86.8089
2016-09-24 18:00:00,331273.16406,100233.74105,60.0,61.83431,86.8058
2016-09-24 19:00:00,331639.43921,100183.47796,60.0,61.80881,86.8027
2016-09-24 20:00:00,332039.85789,100132.45261,60.0,61.78161,86.7993
2016-09-24 21:00:00,332433.56533,99990.52229,60.0,61.74042,86.7962
2016-09-24 22:00:00,332800.52882,99786.65879,60.0,61.69079,86.7935
2016-09-24 23:00:00,333111.61601,99502.76124,30.0,61.63125,86.7915
2016-09-25 00:00:00,333387.3008,99109.71153,39.0,61.55621,86.7901
2016-09-25 01:00:00,333563.62377,98629.39269,60.0,61.4721,86.7898
2016-09-25 02:00:00,333560.75023,98102.82089,60.0,61.38902,86.7912
2016-09-25 03:00:00,333348.32511,97594.82205,60.0,61.31852,86.7944
2016-09-25 04:00:00,333004.04496,97227.11207,60.0,61.27621,86.7984
2016-09-25 05:00:00,332626.05108,97012.75227,60.0,61.2597,86.8023
2016-09-25 06:00:00,332085.90419,96928.80053,60.0,61.2714,86.8073
2016-09-25 07:00:00,331573.11269,97022.12026,60.0,61.31009,86.8116
2016-09-25 08:00:00,331002.48118,97272.94671,60.0,61.37668,86.816
