datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2014-07-25 02:00:00,-1952029.49322,221855.91524,30.0,-141.48407,72.00761
2014-07-25 03:00:00,-1951847.88805,222421.55541,60.0,-141.50106,72.00866
2014-07-25 04:00:00,-1951424.92743,222556.90481,37.5,-141.50638,72.01231
2014-07-25 05:00:00,-1951048.89771,222133.54611,15.0,-141.49535,72.01611
2014-07-25 06:00:00,-1950798.38562,221351.46805,15.0,-141.4735,72.01915
2014-07-25 07:00:00,-1950938.01195,220325.12535,15.0,-141.44328,72.01894
2014-07-25 08:00:00,-1951646.7323,219087.12842,15.0,-141.40507,72.01384
2014-07-25 09:00:00,-1952748.73064,218197.98504,15.0,-141.37572,72.00486
2014-07-25 10:00:00,-1954402.80628,217829.895,15.0,-141.35971,71.99041
2014-07-25 11:00:00,-1956175.74314,217937.62872,15.0,-141.35711,71.97442
2014-07-25 12:00:00,-1958044.79839,218495.65804,15.0,-141.36722,71.95712
2014-07-25 13:00:00,-1959548.01068,219599.40131,15.0,-141.39425,71.94255
2014-07-25 14:00:00,-1960653.85885,220837.3854,15.0,-141.4264,71.9314
2014-07-25 15:00:00,-1961319.01859,222303.20534,15.0,-141.46652,71.92396
2014-07-25 16:00:00,-1961556.42021,223731.45996,15.0,-141.50693,71.92038
2014-07-25 17:00:00,-1961457.20897,224901.74622,15.0,-141.541,71.92007
2014-07-25 18:00:00,-1961190.18458,225835.61245,15.0,-141.56881,71.9215
2014-07-25 19:00:00,-1960876.83286,226431.72448,15.0,-141.58704,71.92369
2014-07-25 20:00:00,-1960579.26826,226696.61244,15.0,-141.59567,71.92608
2014-07-25 21:00:00,-1960415.16409,226657.18037,52.5,-141.59508,71.92759
2014-07-25 22:00:00,-1960636.89495,226487.93373,60.0,-141.58946,71.92578
2014-07-25 23:00:00,-1961322.41519,226422.82109,60.0,-141.5853,71.91971
2014-07-26 00:00:00,-1962397.56505,226736.78873,60.0,-141.59077,71.90976
2014-07-26 01:00:00,-1963288.58499,227637.71596,60.0,-141.61375,71.90085
2014-07-26 02:00:00,-1964061.78922,228991.30803,60.0,-141.65013,71.89252
2014-07-26 03:00:00,-1964520.54816,230723.20366,60.0,-141.69842,71.8866
2014-07-26 04:00:00,-1964513.80393,232590.28176,60.0,-141.75215,71.88469
2014-07-26 05:00:00,-1964024.83997,234334.84881,60.0,-141.804,71.88721
2014-07-26 06:00:00,-1962969.31356,235879.06649,60.0,-141.85206,71.895
2014-07-26 07:00:00,-1961620.276,236816.27236,60.0,-141.88371,71.90606
2014-07-26 08:00:00,-1960396.38968,237167.72197,60.0,-141.89809,71.91663
2014-07-26 09:00:00,-1959516.67498,237186.91157,60.0,-141.90171,71.92448
2014-07-26 10:00:00,-1959108.86432,237158.01813,60.0,-141.9023,71.92816
2014-07-26 11:00:00,-1959249.52765,237131.67553,60.0,-141.90105,71.92693
2014-07-26 12:00:00,-1959958.10126,237270.54021,60.0,-141.90258,71.92044
2014-07-26 13:00:00,-1960977.79014,237876.70363,60.5,-141.91648,71.91066
2014-07-26 14:00:00,-1961948.03586,239074.41169,60.5,-141.94756,71.90068
2014-07-26 15:00:00,-1962613.79992,240813.5155,59.5,-141.99525,71.89282
2014-07-26 16:00:00,-1962614.52527,242813.11455,60.0,-142.05275,71.89061
2014-07-26 17:00:00,-1962049.94957,244765.3021,60.5,-142.1109,71.89349
2014-07-26 18:00:00,-1961107.46481,246441.9559,60.5,-142.16251,71.90004
2014-07-26 19:00:00,-1959851.29902,247668.4635,59.5,-142.20235,71.90989
2014-07-26 20:00:00,-1958551.13896,248282.1303,60.0,-142.22475,71.92082
2014-07-26 21:00:00,-1957590.10904,248513.36631,60.0,-142.23492,71.92915
2014-07-26 22:00:00,-1957122.20309,248639.66014,60.0,-142.24027,71.93319
2014-07-26 23:00:00,-1957089.69788,248956.94219,60.5,-142.24953,71.93312
2014-07-27 00:00:00,-1957087.15529,249483.1293,60.5,-142.2647,71.93254
2014-07-27 01:00:00,-1956978.84694,250107.04851,59.5,-142.28307,71.9328
2014-07-27 02:00:00,-1956769.38432,250703.69329,60.0,-142.30103,71.93399
2014-07-27 03:00:00,-1956511.99527,251332.28109,60.0,-142.32009,71.93557
2014-07-27 04:00:00,-1956214.8807,251989.64949,60.0,-142.34013,71.93747
2014-07-27 05:00:00,-1955813.56068,252715.66014,60.0,-142.36254,71.94022
2014-07-27 06:00:00,-1955265.04887,253504.58994,60.0,-142.38732,71.94421
2014-07-27 07:00:00,-1954602.71495,254159.33513,60.0,-142.40867,71.94937
2014-07-27 08:00:00,-1953889.98123,254511.94128,60.0,-142.42151,71.95533
2014-07-27 09:00:00,-1953089.45647,254576.14537,60.0,-142.42637,71.96241
2014-07-27 10:00:00,-1952226.97646,254265.86656,60.0,-142.42066,71.97048
2014-07-27 11:00:00,-1951533.22662,253621.66081,60.0,-142.40467,71.97743
2014-07-27 12:00:00,-1951466.87187,253262.54144,60.0,-142.39455,71.97844
2014-07-27 13:00:00,-1951566.9731,253379.09188,60.0,-142.39754,71.97741
2014-07-27 14:00:00,-1951857.31888,253693.22541,60.0,-142.40552,71.97445
2014-07-27 15:00:00,-1951753.29589,254243.31849,60.0,-142.42179,71.97474
2014-07-27 16:00:00,-1951377.04438,254820.54882,60.0,-142.43987,71.97743
2014-07-27 17:00:00,-1950748.66231,255476.09466,60.0,-142.46117,71.98228
2014-07-27 18:00:00,-1950026.29713,256189.1752,60.0,-142.4845,71.9879
2014-07-27 19:00:00,-1949154.14109,256660.84768,60.0,-142.50144,71.99514
2014-07-27 20:00:00,-1948136.00636,256957.10529,60.0,-142.51388,72.00389
2014-07-27 21:00:00,-1947221.07649,257072.93518,60.0,-142.52072,72.01193
2014-07-27 22:00:00,-1946552.80107,257125.73936,60.0,-142.5248,72.01784
2014-07-27 23:00:00,-1945985.30341,257025.55079,60.0,-142.52407,72.02303
2014-07-28 00:00:00,-1945497.32534,256907.89544,60.0,-142.52253,72.02753
2014-07-28 01:00:00,-1945179.56034,256967.14192,60.0,-142.52546,72.0303
2014-07-28 02:00:00,-1945151.70662,257406.30093,60.0,-142.53828,72.03003
2014-07-28 03:00:00,-1945014.90229,257915.31746,60.0,-142.55354,72.03065
2014-07-28 04:00:00,-1944598.58798,258328.7869,60.0,-142.56711,72.03388
