datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2014-08-30 14:00:00,-109337.91867,264229.57862,61.0,157.47972,87.36069
2014-08-30 16:00:00,-110023.4114,263884.78235,120.0,157.63308,87.3612
2014-08-30 18:00:00,-110454.2113,263638.4575,119.0,157.73178,87.36176
2014-08-30 20:00:00,-110756.47691,263232.84983,123.0,157.81916,87.36413
2014-08-30 22:00:00,-111072.66851,262706.52269,120.0,157.91871,87.36748
2014-08-31 00:00:00,-111435.95785,262231.89338,117.5,158.02316,87.3702
2014-08-31 02:00:00,-111801.54839,261837.40488,122.5,158.12192,87.37223
2014-08-31 04:00:00,-112012.01357,261601.43222,120.0,158.17955,87.37346
2014-08-31 06:00:00,-111977.01679,261415.74088,117.5,158.18779,87.37517
2014-08-31 08:00:00,-111850.58912,261082.13825,124.0,158.19085,87.37846
2014-08-31 10:00:00,-111833.72416,260534.18374,120.0,158.23132,87.38316
2014-08-31 12:00:00,-111989.79662,259953.76342,116.0,158.3067,87.38751
2014-08-31 14:00:00,-112151.39374,259559.8536,121.0,158.36835,87.39026
2014-08-31 16:00:00,-112124.36358,259340.08249,120.0,158.381,87.39222
2014-08-31 18:00:00,-111947.24207,259110.32809,119.5,158.3665,87.39482
2014-08-31 20:00:00,-111787.36914,258696.81607,121.5,158.37001,87.3989
2014-08-31 22:00:00,-111772.58651,258122.20255,120.0,158.41367,87.40382
2014-09-01 00:00:00,-111888.88308,257514.02749,118.5,158.48477,87.40854
2014-09-01 02:00:00,-112033.6614,257196.92106,121.0,158.53769,87.41069
2014-09-01 04:00:00,-112078.74359,257163.28841,120.0,158.54888,87.41081
2014-09-01 06:00:00,-111919.1825,257296.75097,119.0,158.50812,87.41027
2014-09-01 08:00:00,-111667.45907,257364.23731,123.0,158.45548,87.41063
2014-09-01 10:00:00,-111515.70684,257310.42843,120.0,158.43142,87.41164
2014-09-01 12:00:00,-111519.8206,257179.81344,117.0,158.4428,87.41273
2014-09-01 14:00:00,-111590.92448,257237.01917,120.5,158.45148,87.41198
